Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,TCC_HIT_sum,TCC_MISS_sum,TCC_READ_sum,TCC_WRITE_sum,TCP_TOTAL_READ_sum,TCP_TOTAL_WRITE_sum

0,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848528355373,213848528359218,0,4718.000000,1128.000000,1750.000000,4096.000000,32768.000000,32768.000000
1,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848528948293,213848528950937,0,4746.000000,1104.000000,1754.000000,4096.000000,32768.000000,32768.000000
2,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848529194339,213848529196983,0,4746.000000,1088.000000,1738.000000,4096.000000,32768.000000,32768.000000
3,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848529541375,213848529543938,0,4746.000000,1088.000000,1738.000000,4096.000000,8192.000000,8192.000000
4,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848529890894,213848529893298,0,4690.000000,1088.000000,1682.000000,4096.000000,32768.000000,32768.000000
5,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848530229718,213848530232161,0,4718.000000,1088.000000,1710.000000,4096.000000,32768.000000,32768.000000
6,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848530569663,213848530572187,0,4676.000000,1088.000000,1668.000000,4096.000000,8192.000000,8192.000000
7,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848530895067,213848530897550,0,4676.000000,1088.000000,1668.000000,4096.000000,8192.000000,8192.000000
8,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848531240540,213848531243104,0,4732.000000,1088.000000,1724.000000,4096.000000,32768.000000,32768.000000
