Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,TCC_HIT_sum,TCC_MISS_sum,TCC_READ_sum,TCC_WRITE_sum,TCP_TOTAL_READ_sum,TCP_TOTAL_WRITE_sum

0,8,1,43727,43727,512,512,0,0,16,0,32,64,"__amd_rocclr_copyBuffer.kd",213849061167820,213849061171907,0,12.000000,57.000000,63.000000,6.000000,128.000000,128.000000
1,8,1,43727,43727,17040384,1024,0,0,36,4,48,64,"void convolution<5ul>(float const*, float*, HIP_vector_type<unsigned int, 2u>) (.kd)",213849061864149,213849061961904,0,592351.000000,1639289.000000,1183064.000000,1048576.000000,104857600.000000,4194304.000000
2,8,1,43727,43727,17040384,1024,0,0,36,4,48,64,"void convolution<5ul>(float const*, float*, HIP_vector_type<unsigned int, 2u>) (.kd)",213849062221171,213849062309573,0,592556.000000,1639143.000000,1183123.000000,1048576.000000,104857600.000000,4194304.000000
3,8,1,43727,43727,17040384,1024,0,0,36,4,48,64,"void convolution<5ul>(float const*, float*, HIP_vector_type<unsigned int, 2u>) (.kd)",213849062675840,213849062764222,0,592469.000000,1639143.000000,1183036.000000,1048576.000000,104857600.000000,4194304.000000
4,8,1,43727,43727,17040384,1024,0,0,36,4,48,64,"void convolution<5ul>(float const*, float*, HIP_vector_type<unsigned int, 2u>) (.kd)",213849063108816,213849063200623,0,592518.000000,1639143.000000,1183085.000000,1048576.000000,104857600.000000,4194304.000000
5,8,1,43727,43727,17040384,1024,0,0,36,4,48,64,"void convolution<5ul>(float const*, float*, HIP_vector_type<unsigned int, 2u>) (.kd)",213849063548422,213849063640529,0,592462.000000,1639143.000000,1183029.000000,1048576.000000,104857600.000000,4194304.000000
6,8,1,43727,43727,17040384,1024,0,0,36,4,48,64,"void convolution<5ul>(float const*, float*, HIP_vector_type<unsigned int, 2u>) (.kd)",213849063963291,213849064055989,0,592561.000000,1639143.000000,1183128.000000,1048576.000000,104857600.000000,4194304.000000
7,8,1,43727,43727,17040384,1024,0,0,36,4,48,64,"void convolution<5ul>(float const*, float*, HIP_vector_type<unsigned int, 2u>) (.kd)",213849064390609,213849064482416,0,592418.000000,1639143.000000,1182985.000000,1048576.000000,104857600.000000,4194304.000000
8,8,1,43727,43727,17040384,1024,0,0,36,4,48,64,"void convolution<5ul>(float const*, float*, HIP_vector_type<unsigned int, 2u>) (.kd)",213849064823565,213849064916233,0,592541.000000,1639143.000000,1183108.000000,1048576.000000,104857600.000000,4194304.000000
9,8,1,43727,43727,17040384,1024,0,0,36,4,48,64,"void convolution<5ul>(float const*, float*, HIP_vector_type<unsigned int, 2u>) (.kd)",213849065238274,213849065331323,0,592531.000000,1639143.000000,1183098.000000,1048576.000000,104857600.000000,4194304.000000
10,8,1,43727,43727,17040384,1024,0,0,36,4,48,64,"void convolution<5ul>(float const*, float*, HIP_vector_type<unsigned int, 2u>) (.kd)",213849065668225,213849065760353,0,592478.000000,1639143.000000,1183045.000000,1048576.000000,104857600.000000,4194304.000000
