Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,TCC_HIT_sum,TCC_MISS_sum,TCC_READ_sum,TCC_WRITE_sum,TCP_TOTAL_READ_sum,TCP_TOTAL_WRITE_sum

0,8,1,43737,43737,77824,256,0,0,12,4,48,64,"__amd_rocclr_fillBufferAligned.kd",213849543224468,213849543229115,0,69744.000000,65696.000000,4368.000000,131072.000000,0.000000,524288.000000
1,8,1,43737,43737,77824,256,0,0,12,4,48,64,"__amd_rocclr_fillBufferAligned.kd",213849543673534,213849543678100,0,69744.000000,65672.000000,4344.000000,131072.000000,0.000000,524288.000000
2,8,1,43737,43737,77824,256,0,0,12,4,48,64,"__amd_rocclr_fillBufferAligned.kd",213849544404899,213849544409266,0,69744.000000,65672.000000,4344.000000,131072.000000,0.000000,524288.000000
3,8,1,43737,43737,77824,256,0,0,12,4,48,64,"__amd_rocclr_fillBufferAligned.kd",213849544683113,213849544687439,0,69744.000000,65664.000000,4336.000000,131072.000000,0.000000,524288.000000
4,8,1,43737,43737,77824,256,0,0,12,4,48,64,"__amd_rocclr_fillBufferAligned.kd",213849544965973,213849544970579,0,69744.000000,65656.000000,4328.000000,131072.000000,0.000000,524288.000000
5,8,1,43737,43737,77824,256,0,0,12,4,48,64,"__amd_rocclr_fillBufferAligned.kd",213849545363363,213849545367849,0,69744.000000,65664.000000,4336.000000,131072.000000,0.000000,524288.000000
6,8,2,43737,43737,1,1,0,0,4,4,16,64,"apply_source_kernel(FDTD_Setup, float*, float) (.kd)",213849740082680,213849740084923,0,8.000000,42.000000,49.000000,1.000000,0.000000,16.000000
7,8,2,43737,43737,2097152,64,0,0,24,0,32,64,"updateH_kernel(FDTD_Setup, float*, float const*, float const*, float*, float*, float, float, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int) (.kd)",213849740351640,213849740448545,0,765220.000000,2595535.000000,2844627.000000,516128.000000,3670016.000000,524288.000000
8,8,3,43737,43737,2097152,64,0,0,24,0,32,64,"updateH_kernel(FDTD_Setup, float*, float const*, float const*, float*, float*, float, float, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int) (.kd)",213849740655333,213849740738497,0,701737.000000,2610406.000000,2791951.000000,520192.000000,3670016.000000,524288.000000
9,8,4,43737,43737,2097152,64,0,0,24,0,32,64,"updateH_kernel(FDTD_Setup, float*, float const*, float const*, float*, float*, float, float, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int) (.kd)",213849740936632,213849741018635,0,697504.000000,2606932.000000,2784244.000000,520192.000000,3670016.000000,524288.000000
10,8,2,43737,43737,2097152,64,0,0,24,0,32,64,"updateEx_kernel(FDTD_Setup, Medium_Params, float*, float const*, float const*) (.kd)",213849741331902,213849741419673,0,790384.000000,2624258.000000,2890354.000000,524288.000000,3670016.000000,524288.000000
