Dispatch_ID,Kernel_Name,GPU_ID
0,__amd_rocclr_fillBufferAligned,0
1,__amd_rocclr_fillBufferAligned,0
2,__amd_rocclr_fillBufferAligned,0
3,__amd_rocclr_fillBufferAligned,0
4,__amd_rocclr_fillBufferAligned,0
5,__amd_rocclr_fillBufferAligned,0
6,"apply_source_kernel(FDTD_Setup, float*, float)",0
7,"updateH_kernel(FDTD_Setup, float*, float const*, float const*, float*, float*, float, float, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",0
8,"updateH_kernel(FDTD_Setup, float*, float const*, float const*, float*, float*, float, float, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",0
9,"updateH_kernel(FDTD_Setup, float*, float const*, float const*, float*, float*, float, float, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",0
10,"updateEx_kernel(FDTD_Setup, Medium_Params, float*, float const*, float const*)",0
11,"updateEy_kernel(FDTD_Setup, Medium_Params, float*, float const*, float const*)",0
12,"updateEz_kernel(FDTD_Setup, Medium_Params, float*, float const*, float const*)",0
13,"apply_source_kernel(FDTD_Setup, float*, float)",0
14,"updateH_kernel(FDTD_Setup, float*, float const*, float const*, float*, float*, float, float, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",0
15,"updateH_kernel(FDTD_Setup, float*, float const*, float const*, float*, float*, float, float, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",0
16,"updateH_kernel(FDTD_Setup, float*, float const*, float const*, float*, float*, float, float, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",0
17,"updateEx_kernel(FDTD_Setup, Medium_Params, float*, float const*, float const*)",0
18,"updateEy_kernel(FDTD_Setup, Medium_Params, float*, float const*, float const*)",0
19,"updateEz_kernel(FDTD_Setup, Medium_Params, float*, float const*, float const*)",0
20,"apply_source_kernel(FDTD_Setup, float*, float)",0
21,"updateH_kernel(FDTD_Setup, float*, float const*, float const*, float*, float*, float, float, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",0
22,"updateH_kernel(FDTD_Setup, float*, float const*, float const*, float*, float*, float, float, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",0
23,"updateH_kernel(FDTD_Setup, float*, float const*, float const*, float*, float*, float, float, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",0
24,"updateEx_kernel(FDTD_Setup, Medium_Params, float*, float const*, float const*)",0
25,"updateEy_kernel(FDTD_Setup, Medium_Params, float*, float const*, float const*)",0
26,"updateEz_kernel(FDTD_Setup, Medium_Params, float*, float const*, float const*)",0
27,"apply_source_kernel(FDTD_Setup, float*, float)",0
28,"updateH_kernel(FDTD_Setup, float*, float const*, float const*, float*, float*, float, float, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",0
29,"updateH_kernel(FDTD_Setup, float*, float const*, float const*, float*, float*, float, float, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",0
30,"updateH_kernel(FDTD_Setup, float*, float const*, float const*, float*, float*, float, float, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",0
31,"updateEx_kernel(FDTD_Setup, Medium_Params, float*, float const*, float const*)",0
32,"updateEy_kernel(FDTD_Setup, Medium_Params, float*, float const*, float const*)",0
33,"updateEz_kernel(FDTD_Setup, Medium_Params, float*, float const*, float const*)",0
34,"apply_source_kernel(FDTD_Setup, float*, float)",0
35,"updateH_kernel(FDTD_Setup, float*, float const*, float const*, float*, float*, float, float, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",0
36,"updateH_kernel(FDTD_Setup, float*, float const*, float const*, float*, float*, float, float, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",0
37,"updateH_kernel(FDTD_Setup, float*, float const*, float const*, float*, float*, float, float, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",0
38,"updateEx_kernel(FDTD_Setup, Medium_Params, float*, float const*, float const*)",0
39,"updateEy_kernel(FDTD_Setup, Medium_Params, float*, float const*, float const*)",0
40,"updateEz_kernel(FDTD_Setup, Medium_Params, float*, float const*, float const*)",0
41,"apply_source_kernel(FDTD_Setup, float*, float)",0
42,"updateH_kernel(FDTD_Setup, float*, float const*, float const*, float*, float*, float, float, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",0
43,"updateH_kernel(FDTD_Setup, float*, float const*, float const*, float*, float*, float, float, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",0
44,"updateH_kernel(FDTD_Setup, float*, float const*, float const*, float*, float*, float, float, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",0
45,"updateEx_kernel(FDTD_Setup, Medium_Params, float*, float const*, float const*)",0
46,"updateEy_kernel(FDTD_Setup, Medium_Params, float*, float const*, float const*)",0
47,"updateEz_kernel(FDTD_Setup, Medium_Params, float*, float const*, float const*)",0
48,"apply_source_kernel(FDTD_Setup, float*, float)",0
49,"updateH_kernel(FDTD_Setup, float*, float const*, float const*, float*, float*, float, float, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",0
50,"updateH_kernel(FDTD_Setup, float*, float const*, float const*, float*, float*, float, float, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",0
51,"updateH_kernel(FDTD_Setup, float*, float const*, float const*, float*, float*, float, float, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",0
52,"updateEx_kernel(FDTD_Setup, Medium_Params, float*, float const*, float const*)",0
53,"updateEy_kernel(FDTD_Setup, Medium_Params, float*, float const*, float const*)",0
54,"updateEz_kernel(FDTD_Setup, Medium_Params, float*, float const*, float const*)",0
55,"apply_source_kernel(FDTD_Setup, float*, float)",0
56,"updateH_kernel(FDTD_Setup, float*, float const*, float const*, float*, float*, float, float, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",0
57,"updateH_kernel(FDTD_Setup, float*, float const*, float const*, float*, float*, float, float, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",0
58,"updateH_kernel(FDTD_Setup, float*, float const*, float const*, float*, float*, float, float, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",0
59,"updateEx_kernel(FDTD_Setup, Medium_Params, float*, float const*, float const*)",0
60,"updateEy_kernel(FDTD_Setup, Medium_Params, float*, float const*, float const*)",0
61,"updateEz_kernel(FDTD_Setup, Medium_Params, float*, float const*, float const*)",0
62,"apply_source_kernel(FDTD_Setup, float*, float)",0
63,"updateH_kernel(FDTD_Setup, float*, float const*, float const*, float*, float*, float, float, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",0
64,"updateH_kernel(FDTD_Setup, float*, float const*, float const*, float*, float*, float, float, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)",0
