Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,TCC_HIT_sum,TCC_MISS_sum,TCC_READ_sum,TCC_WRITE_sum,TCP_TOTAL_READ_sum,TCP_TOTAL_WRITE_sum

0,8,1,43747,43747,512,512,0,0,16,0,32,64,"__amd_rocclr_copyBuffer.kd",213850975199989,213850975202913,0,16.000000,67.000000,67.000000,16.000000,64.000000,64.000000
1,8,1,43747,43747,512,512,0,0,16,0,32,64,"__amd_rocclr_copyBuffer.kd",213850975812216,213850975814500,0,16.000000,41.000000,41.000000,16.000000,64.000000,64.000000
2,8,1,43747,43747,256,256,0,0,12,4,32,64,"floyd_warshall_kernel(unsigned int*, unsigned int*, unsigned int, unsigned int) (.kd)",213850976461720,213850976463603,0,7.000000,32.000000,39.000000,0.000000,192.000000,0.000000
3,8,1,43747,43747,256,256,0,0,12,4,32,64,"floyd_warshall_kernel(unsigned int*, unsigned int*, unsigned int, unsigned int) (.kd)",213850976802425,213850976804268,0,7.000000,16.000000,23.000000,0.000000,192.000000,0.000000
4,8,1,43747,43747,256,256,0,0,12,4,32,64,"floyd_warshall_kernel(unsigned int*, unsigned int*, unsigned int, unsigned int) (.kd)",213850977129230,213850977131153,0,7.000000,16.000000,23.000000,0.000000,192.000000,0.000000
5,8,1,43747,43747,256,256,0,0,12,4,32,64,"floyd_warshall_kernel(unsigned int*, unsigned int*, unsigned int, unsigned int) (.kd)",213850977453311,213850977455234,0,7.000000,16.000000,23.000000,0.000000,192.000000,0.000000
6,8,1,43747,43747,256,256,0,0,12,4,32,64,"floyd_warshall_kernel(unsigned int*, unsigned int*, unsigned int, unsigned int) (.kd)",213850977764813,213850977766616,0,7.000000,16.000000,23.000000,0.000000,192.000000,0.000000
7,8,1,43747,43747,256,256,0,0,12,4,32,64,"floyd_warshall_kernel(unsigned int*, unsigned int*, unsigned int, unsigned int) (.kd)",213850978076075,213850978077998,0,7.000000,16.000000,23.000000,0.000000,192.000000,0.000000
8,8,1,43747,43747,256,256,0,0,12,4,32,64,"floyd_warshall_kernel(unsigned int*, unsigned int*, unsigned int, unsigned int) (.kd)",213850978385574,213850978387377,0,7.000000,16.000000,23.000000,0.000000,192.000000,0.000000
9,8,1,43747,43747,256,256,0,0,12,4,32,64,"floyd_warshall_kernel(unsigned int*, unsigned int*, unsigned int, unsigned int) (.kd)",213850978702364,213850978704127,0,7.000000,16.000000,23.000000,0.000000,192.000000,0.000000
10,8,1,43747,43747,256,256,0,0,12,4,32,64,"floyd_warshall_kernel(unsigned int*, unsigned int*, unsigned int, unsigned int) (.kd)",213850979011022,213850979012945,0,7.000000,16.000000,23.000000,0.000000,192.000000,0.000000
11,8,1,43747,43747,256,256,0,0,12,4,32,64,"floyd_warshall_kernel(unsigned int*, unsigned int*, unsigned int, unsigned int) (.kd)",213850979357416,213850979359059,0,7.000000,16.000000,23.000000,0.000000,192.000000,0.000000
12,8,1,43747,43747,256,256,0,0,12,4,32,64,"floyd_warshall_kernel(unsigned int*, unsigned int*, unsigned int, unsigned int) (.kd)",213850979665393,213850979667116,0,7.000000,16.000000,23.000000,0.000000,192.000000,0.000000
13,8,1,43747,43747,256,256,0,0,12,4,32,64,"floyd_warshall_kernel(unsigned int*, unsigned int*, unsigned int, unsigned int) (.kd)",213850979974973,213850979976695,0,7.000000,16.000000,23.000000,0.000000,192.000000,0.000000
14,8,1,43747,43747,256,256,0,0,12,4,32,64,"floyd_warshall_kernel(unsigned int*, unsigned int*, unsigned int, unsigned int) (.kd)",213850980316960,213850980318562,0,7.000000,16.000000,23.000000,0.000000,192.000000,0.000000
15,8,1,43747,43747,256,256,0,0,12,4,32,64,"floyd_warshall_kernel(unsigned int*, unsigned int*, unsigned int, unsigned int) (.kd)",213850980627180,213850980628903,0,7.000000,16.000000,23.000000,0.000000,192.000000,0.000000
16,8,1,43747,43747,256,256,0,0,12,4,32,64,"floyd_warshall_kernel(unsigned int*, unsigned int*, unsigned int, unsigned int) (.kd)",213850980934516,213850980936199,0,7.000000,16.000000,23.000000,0.000000,192.000000,0.000000
17,8,1,43747,43747,256,256,0,0,12,4,32,64,"floyd_warshall_kernel(unsigned int*, unsigned int*, unsigned int, unsigned int) (.kd)",213850981242653,213850981244376,0,7.000000,16.000000,23.000000,0.000000,192.000000,0.000000
18,8,1,43747,43747,512,512,0,0,16,0,32,64,"__amd_rocclr_copyBuffer.kd",213850981552393,213850981554476,0,8.000000,19.000000,27.000000,16.000000,64.000000,64.000000
19,8,1,43747,43747,512,512,0,0,16,0,32,64,"__amd_rocclr_copyBuffer.kd",213850981863695,213850981865377,0,8.000000,17.000000,25.000000,16.000000,64.000000,64.000000
