Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,TCC_HIT_sum,TCC_MISS_sum,TCC_READ_sum,TCC_WRITE_sum,TCP_TOTAL_READ_sum,TCP_TOTAL_WRITE_sum

0,8,1,43767,43767,131072,256,6144,0,36,4,64,64,"void rocrand_impl::system::detail::trampoline_kernel<rocrand_impl::host::init_xorwow_engines, rocrand_impl::host::static_block_size_config_provider<256u>, unsigned int, false, (rocrand_impl::host::target_arch)942, rocrand_device::xorwow_engine*, unsigned int, unsigned int, unsigned long long, unsigned long long>(rocrand_device::xorwow_engine*, unsigned int, unsigned int, unsigned long long, unsigned long long) (.kd)",213851658017155,213851658250383,0,155086.000000,26638.000000,83420.000000,98304.000000,0.000000,262144.000000
1,8,1,43767,43767,131072,256,0,0,20,4,16,64,"void rocrand_impl::system::detail::trampoline_kernel<rocrand_impl::host::generate_xorwow<rocrand_impl::host::default_config_provider<(rocrand_rng_type)401>, false, float, rocrand_impl::host::uniform_distribution<float, unsigned int>, false>, rocrand_impl::host::default_config_provider<(rocrand_rng_type)401>, float, false, (rocrand_impl::host::target_arch)942, rocrand_device::xorwow_engine*, unsigned int, float*, unsigned long, rocrand_impl::host::uniform_distribution<float, unsigned int>, unsigned int, unsigned int, unsigned long>(rocrand_device::xorwow_engine*, unsigned int, float*, unsigned long, rocrand_impl::host::uniform_distribution<float, unsigned int>, unsigned int, unsigned int, unsigned long) (.kd)",213851658619973,213851658628466,0,166640.000000,90217.000000,27481.000000,229376.000000,393216.000000,786432.000000
2,8,1,43767,43767,131072,256,512,0,32,0,48,64,"void rocprim::ROCPRIM_400200_NS::detail::trampoline_kernel<rocprim::ROCPRIM_400200_NS::detail::wrapped_reduce_config<rocprim::ROCPRIM_400200_NS::default_config, int>, (rocprim::ROCPRIM_400200_NS::detail::target_arch)942, hipError_t rocprim::ROCPRIM_400200_NS::detail::reduce_impl<true, rocprim::ROCPRIM_400200_NS::default_config, hipcub::HIPCUB_400200_NS::TransformInputIterator<bool, conversion_op, hipcub::HIPCUB_400200_NS::CountingInputIterator<int, long>, long>, int*, int, hipcub::HIPCUB_400200_NS::detail::convert_binary_result_type_wrapper<hipcub::HIPCUB_400200_NS::Sum, hipcub::HIPCUB_400200_NS::TransformInputIterator<bool, conversion_op, hipcub::HIPCUB_400200_NS::CountingInputIterator<int, long>, long>, int>>(void*, unsigned long&, hipcub::HIPCUB_400200_NS::TransformInputIterator<bool, conversion_op, hipcub::HIPCUB_400200_NS::CountingInputIterator<int, long>, long>, int*, int, unsigned long, hipcub::HIPCUB_400200_NS::detail::convert_binary_result_type_wrapper<hipcub::HIPCUB_400200_NS::Sum, hipcub::HIPCUB_400200_NS::TransformInputIterator<bool, conversion_op, hipcub::HIPCUB_400200_NS::CountingInputIterator<int, long>, long>, int>, ihipStream_t*, bool)::'lambda'(auto), rocprim::ROCPRIM_400200_NS::detail::default_config_selector>(hipcub::HIPCUB_400200_NS::TransformInputIterator<bool, conversion_op, hipcub::HIPCUB_400200_NS::CountingInputIterator<int, long>, long>) (.kd)",213851665690051,213851665695740,0,4904.000000,65831.000000,70223.000000,512.000000,524288.000000,8192.000000
3,8,1,43767,43767,256,256,512,0,8,0,32,64,"void rocprim::ROCPRIM_400200_NS::detail::trampoline_kernel<rocprim::ROCPRIM_400200_NS::detail::wrapped_reduce_config<rocprim::ROCPRIM_400200_NS::default_config, int>, (rocprim::ROCPRIM_400200_NS::detail::target_arch)942, hipError_t rocprim::ROCPRIM_400200_NS::detail::reduce_impl<true, rocprim::ROCPRIM_400200_NS::default_config, int*, int*, int, hipcub::HIPCUB_400200_NS::detail::convert_binary_result_type_wrapper<hipcub::HIPCUB_400200_NS::Sum, hipcub::HIPCUB_400200_NS::TransformInputIterator<bool, conversion_op, hipcub::HIPCUB_400200_NS::CountingInputIterator<int, long>, long>, int>>(void*, unsigned long&, int*, int*, int, unsigned long, hipcub::HIPCUB_400200_NS::detail::convert_binary_result_type_wrapper<hipcub::HIPCUB_400200_NS::Sum, hipcub::HIPCUB_400200_NS::TransformInputIterator<bool, conversion_op, hipcub::HIPCUB_400200_NS::CountingInputIterator<int, long>, long>, int>, ihipStream_t*, bool)::'lambda6'(auto), rocprim::ROCPRIM_400200_NS::detail::default_config_selector>(int*) (.kd)",213851666153863,213851666155946,0,13.000000,31.000000,43.000000,1.000000,128.000000,16.000000
4,8,1,43767,43767,512,512,0,0,16,0,32,64,"__amd_rocclr_copyBuffer.kd",213851666467852,213851666471737,0,8.000000,44.000000,52.000000,4.000000,64.000000,64.000000
5,8,1,43767,43767,1048576,256,512,0,24,0,32,64,"void rocrand_impl::host::generate_sobol_kernel<1u, false, rocrand_device::sobol32_engine<true>, unsigned int, float, rocrand_impl::host::sobol_uniform_distribution<float>, 256>(float*, unsigned long, unsigned int const*, unsigned int const*, unsigned int, rocrand_impl::host::sobol_uniform_distribution<float>) (.kd)",213851690252462,213851690267124,0,70336.000000,65730.000000,4994.000000,131072.000000,65536.000000,524288.000000
6,8,1,43767,43767,131072,256,512,0,32,0,48,64,"void rocprim::ROCPRIM_400200_NS::detail::trampoline_kernel<rocprim::ROCPRIM_400200_NS::detail::wrapped_reduce_config<rocprim::ROCPRIM_400200_NS::default_config, int>, (rocprim::ROCPRIM_400200_NS::detail::target_arch)942, hipError_t rocprim::ROCPRIM_400200_NS::detail::reduce_impl<true, rocprim::ROCPRIM_400200_NS::default_config, hipcub::HIPCUB_400200_NS::TransformInputIterator<bool, conversion_op, hipcub::HIPCUB_400200_NS::CountingInputIterator<int, long>, long>, int*, int, hipcub::HIPCUB_400200_NS::detail::convert_binary_result_type_wrapper<hipcub::HIPCUB_400200_NS::Sum, hipcub::HIPCUB_400200_NS::TransformInputIterator<bool, conversion_op, hipcub::HIPCUB_400200_NS::CountingInputIterator<int, long>, long>, int>>(void*, unsigned long&, hipcub::HIPCUB_400200_NS::TransformInputIterator<bool, conversion_op, hipcub::HIPCUB_400200_NS::CountingInputIterator<int, long>, long>, int*, int, unsigned long, hipcub::HIPCUB_400200_NS::detail::convert_binary_result_type_wrapper<hipcub::HIPCUB_400200_NS::Sum, hipcub::HIPCUB_400200_NS::TransformInputIterator<bool, conversion_op, hipcub::HIPCUB_400200_NS::CountingInputIterator<int, long>, long>, int>, ihipStream_t*, bool)::'lambda'(auto), rocprim::ROCPRIM_400200_NS::detail::default_config_selector>(hipcub::HIPCUB_400200_NS::TransformInputIterator<bool, conversion_op, hipcub::HIPCUB_400200_NS::CountingInputIterator<int, long>, long>) (.kd)",213851690802161,213851690807489,0,4904.000000,65832.000000,70224.000000,512.000000,524288.000000,8192.000000
7,8,1,43767,43767,256,256,512,0,8,0,32,64,"void rocprim::ROCPRIM_400200_NS::detail::trampoline_kernel<rocprim::ROCPRIM_400200_NS::detail::wrapped_reduce_config<rocprim::ROCPRIM_400200_NS::default_config, int>, (rocprim::ROCPRIM_400200_NS::detail::target_arch)942, hipError_t rocprim::ROCPRIM_400200_NS::detail::reduce_impl<true, rocprim::ROCPRIM_400200_NS::default_config, int*, int*, int, hipcub::HIPCUB_400200_NS::detail::convert_binary_result_type_wrapper<hipcub::HIPCUB_400200_NS::Sum, hipcub::HIPCUB_400200_NS::TransformInputIterator<bool, conversion_op, hipcub::HIPCUB_400200_NS::CountingInputIterator<int, long>, long>, int>>(void*, unsigned long&, int*, int*, int, unsigned long, hipcub::HIPCUB_400200_NS::detail::convert_binary_result_type_wrapper<hipcub::HIPCUB_400200_NS::Sum, hipcub::HIPCUB_400200_NS::TransformInputIterator<bool, conversion_op, hipcub::HIPCUB_400200_NS::CountingInputIterator<int, long>, long>, int>, ihipStream_t*, bool)::'lambda6'(auto), rocprim::ROCPRIM_400200_NS::detail::default_config_selector>(int*) (.kd)",213851691161537,213851691163540,0,13.000000,47.000000,59.000000,1.000000,128.000000,16.000000
8,8,1,43767,43767,512,512,0,0,16,0,32,64,"__amd_rocclr_copyBuffer.kd",213851691492350,213851691496236,0,8.000000,44.000000,52.000000,4.000000,64.000000,64.000000
